testing the logger
testing the logger
2026-06-02 16:35:58,124 | INFO | testing the logger |
2026-06-03 08:43:06,253 | INFO | testing the logger |
2026-06-03 08:43:11,133 | INFO | testing the logger |
2026-06-03 08:43:13,511 | INFO | testing the logger |
2026-06-03 08:43:15,760 | INFO | testing the logger |
2026-06-03 08:43:17,998 | INFO | testing the logger |
2026-06-03 08:43:31,718 | INFO | testing the logger |
2026-06-03 08:43:33,170 | INFO | testing the logger |
2026-06-03 08:43:34,660 | INFO | testing the logger |
2026-06-03 08:43:36,908 | INFO | testing the logger |
2026-06-03 08:43:38,739 | INFO | testing the logger |
2026-06-03 08:43:42,291 | INFO | testing the logger |
2026-06-03 08:43:45,911 | INFO | testing the logger |
2026-06-03 08:43:50,322 | INFO | testing the logger |
2026-06-03 08:44:01,893 | INFO | testing the logger |
2026-06-03 08:44:03,054 | INFO | testing the logger |
2026-06-03 08:44:06,592 | INFO | testing the logger |
2026-06-03 08:44:09,696 | INFO | testing the logger |
2026-06-03 08:44:20,140 | INFO | testing the logger |
2026-06-03 08:44:21,496 | INFO | testing the logger |
2026-06-03 08:44:29,823 | INFO | testing the logger |
2026-06-03 08:44:31,180 | INFO | testing the logger |
2026-06-03 08:44:38,503 | INFO | testing the logger |
2026-06-03 08:44:40,366 | INFO | testing the logger |
2026-06-03 08:44:42,640 | INFO | testing the logger |
2026-06-03 08:44:44,111 | INFO | testing the logger |
2026-06-03 08:44:51,538 | INFO | testing the logger |
2026-06-03 08:44:52,904 | INFO | testing the logger |
2026-06-03 08:45:01,319 | INFO | testing the logger |
2026-06-03 08:45:04,764 | INFO | testing the logger |
2026-06-03 08:45:15,232 | INFO | testing the logger |
2026-06-03 08:45:18,366 | INFO | testing the logger |
2026-06-03 08:45:23,714 | INFO | testing the logger |
2026-06-03 08:45:27,044 | INFO | testing the logger |
2026-06-03 08:45:31,893 | INFO | testing the logger |
2026-06-03 08:45:33,773 | INFO | testing the logger |
2026-06-03 08:45:54,277 | INFO | testing the logger |
2026-06-03 08:45:57,814 | INFO | testing the logger |
2026-06-03 08:46:00,909 | INFO | testing the logger |
2026-06-03 08:46:03,140 | INFO | testing the logger |
2026-06-03 08:46:05,431 | INFO | testing the logger |
2026-06-03 08:46:07,302 | INFO | testing the logger |
2026-06-03 08:46:16,415 | INFO | testing the logger |
2026-06-03 08:46:19,652 | INFO | testing the logger |
2026-06-03 08:46:24,859 | INFO | testing the logger |
2026-06-03 08:46:26,301 | INFO | testing the logger |
2026-06-03 08:46:38,457 | INFO | testing the logger |
2026-06-03 08:46:42,473 | INFO | testing the logger |
2026-06-03 08:46:46,134 | INFO | testing the logger |
2026-06-03 08:46:48,798 | INFO | testing the logger |
2026-06-03 08:46:52,441 | INFO | testing the logger |
2026-06-03 08:47:16,660 | INFO | testing the logger |
2026-06-03 08:47:19,754 | INFO | testing the logger |
2026-06-03 08:47:21,734 | INFO | testing the logger |
2026-06-03 08:47:24,057 | INFO | testing the logger |
2026-06-03 08:47:27,233 | INFO | testing the logger |
2026-06-03 08:47:28,989 | INFO | testing the logger |
2026-06-03 08:47:35,537 | INFO | testing the logger |
2026-06-03 08:47:41,525 | INFO | testing the logger |
2026-06-03 08:47:45,013 | INFO | testing the logger |
2026-06-03 08:47:50,967 | INFO | testing the logger |
2026-06-03 08:48:10,809 | INFO | testing the logger |
2026-06-03 08:48:13,091 | INFO | testing the logger |
2026-06-03 08:48:14,913 | INFO | testing the logger |
2026-06-03 08:48:19,674 | INFO | testing the logger |
2026-06-03 08:48:21,208 | INFO | testing the logger |
2026-06-03 08:48:24,322 | INFO | testing the logger |
2026-06-03 08:48:31,736 | INFO | testing the logger |
2026-06-03 08:48:34,754 | INFO | testing the logger |
2026-06-03 08:49:24,000 | INFO | testing the logger |
2026-06-03 08:49:26,902 | INFO | testing the logger |
2026-06-03 08:49:29,728 | INFO | testing the logger |
2026-06-03 08:49:31,561 | INFO | testing the logger |
2026-06-03 08:49:34,713 | INFO | testing the logger |
2026-06-03 08:49:40,928 | INFO | testing the logger |
2026-06-03 08:49:47,238 | INFO | testing the logger |
2026-06-03 08:49:49,849 | INFO | testing the logger |
2026-06-03 08:49:54,675 | INFO | testing the logger |
2026-06-03 08:50:08,871 | INFO | testing the logger |
2026-06-03 08:50:10,720 | INFO | testing the logger |
2026-06-03 08:50:12,538 | INFO | testing the logger |
2026-06-03 08:50:15,804 | INFO | testing the logger |
2026-06-03 08:50:20,992 | INFO | testing the logger |
2026-06-03 08:50:32,622 | INFO | testing the logger |
2026-06-03 08:50:34,461 | INFO | testing the logger |
2026-06-03 08:50:37,722 | INFO | testing the logger |
2026-06-03 08:50:41,251 | INFO | testing the logger |
2026-06-03 08:50:42,576 | INFO | testing the logger |
2026-06-03 08:50:47,410 | INFO | testing the logger |
2026-06-03 08:50:51,750 | INFO | testing the logger |
2026-06-03 08:50:53,227 | INFO | testing the logger |
2026-06-03 08:50:55,475 | INFO | testing the logger |
2026-06-03 08:50:57,153 | INFO | testing the logger |
2026-06-03 08:51:00,538 | INFO | testing the logger |
2026-06-03 08:51:05,520 | INFO | testing the logger |
2026-06-03 08:51:07,747 | INFO | testing the logger |
2026-06-03 08:51:50,326 | INFO | testing the logger |
2026-06-03 08:51:53,076 | INFO | testing the logger |
2026-06-03 08:51:56,073 | INFO | testing the logger |
2026-06-03 08:52:01,650 | INFO | testing the logger |
2026-06-03 08:52:04,849 | INFO | testing the logger |
2026-06-03 08:52:06,610 | INFO | testing the logger |
2026-06-03 08:52:08,104 | INFO | testing the logger |
2026-06-03 08:52:09,239 | INFO | testing the logger |
2026-06-03 08:52:12,371 | INFO | testing the logger |
2026-06-03 08:52:18,197 | INFO | testing the logger |
2026-06-03 11:54:45,176 | INFO | testing the logger |
2026-06-03 11:54:45,586 | INFO | testing the logger |
2026-06-03 11:55:46,040 | INFO | The client try to remove a soldier from the system |
2026-06-03 11:55:46,065 | ERROR | id does not exists in db! |
2026-06-03 11:56:56,438 | INFO | testing the logger |
2026-06-03 11:57:05,756 | INFO | The client try to remove a soldier from the system |
2026-06-03 11:57:05,757 | ERROR | id does not exists in db! |
2026-06-03 11:58:06,674 | INFO | testing the logger |
2026-06-03 11:58:13,396 | INFO | The client try to remove a soldier from the system |
2026-06-03 11:58:13,397 | INFO | soldier has been deleted |
2026-06-03 11:58:13,398 | ERROR | id does not exists in db! |
2026-06-03 12:00:43,174 | INFO | testing the logger |
2026-06-03 12:00:49,281 | INFO | testing the logger |
2026-06-03 12:00:51,437 | INFO | testing the logger |
2026-06-03 12:00:58,586 | INFO | testing the logger |
2026-06-03 12:01:03,058 | INFO | testing the logger |
2026-06-03 12:01:45,146 | INFO | testing the logger |
2026-06-03 12:01:51,397 | INFO | The client try to remove a soldier from the system |
2026-06-03 12:01:51,398 | INFO | soldier has been deleted |
2026-06-03 12:01:51,398 | ERROR | id does not exists in db! |
2026-06-03 12:02:35,803 | INFO | testing the logger |
2026-06-03 12:02:43,701 | INFO | testing the logger |
2026-06-03 12:02:46,172 | INFO | testing the logger |
2026-06-03 12:02:52,404 | INFO | testing the logger |
2026-06-03 12:02:56,928 | INFO | testing the logger |
2026-06-03 12:02:58,440 | INFO | testing the logger |
2026-06-03 12:03:00,601 | INFO | testing the logger |
2026-06-03 12:03:10,190 | INFO | The client try to remove a soldier from the system |
2026-06-03 12:03:10,190 | INFO | soldier has been deleted |
2026-06-03 12:03:10,191 | ERROR | id does not exists in db! |
2026-06-03 12:04:51,629 | INFO | The client try to remove a soldier from the system |
2026-06-03 12:04:51,659 | INFO | soldier has been deleted |
2026-06-03 12:04:51,660 | ERROR | id does not exists in db! |
2026-06-03 12:06:00,272 | INFO | The client try to remove a soldier from the system |
2026-06-03 12:06:00,274 | INFO | soldier has been deleted |
2026-06-03 12:06:00,275 | ERROR | id does not exists in db! |
2026-06-03 12:07:21,095 | INFO | testing the logger |
2026-06-03 12:07:24,990 | INFO | testing the logger |
2026-06-03 12:07:26,198 | INFO | testing the logger |
2026-06-03 12:07:30,166 | INFO | testing the logger |
2026-06-03 12:07:31,776 | INFO | testing the logger |
2026-06-03 12:07:32,871 | INFO | testing the logger |
2026-06-03 12:07:55,840 | INFO | testing the logger |
2026-06-03 12:07:59,043 | INFO | testing the logger |
2026-06-03 12:08:02,334 | INFO | testing the logger |
2026-06-03 12:08:04,090 | INFO | testing the logger |
2026-06-03 12:08:09,384 | INFO | testing the logger |
2026-06-03 12:08:10,896 | INFO | testing the logger |
2026-06-03 12:08:14,538 | INFO | testing the logger |
2026-06-03 12:08:16,959 | INFO | testing the logger |
2026-06-03 12:08:20,317 | INFO | testing the logger |
2026-06-03 12:08:22,734 | INFO | testing the logger |
2026-06-03 12:08:25,308 | INFO | testing the logger |
2026-06-03 12:08:30,180 | INFO | testing the logger |
2026-06-03 12:08:36,176 | INFO | testing the logger |
2026-06-03 12:08:37,674 | INFO | testing the logger |
2026-06-03 12:08:41,312 | INFO | testing the logger |
2026-06-03 12:08:45,603 | INFO | testing the logger |
2026-06-03 12:08:48,177 | INFO | testing the logger |
2026-06-03 12:08:53,894 | INFO | testing the logger |
2026-06-03 12:08:57,025 | INFO | testing the logger |
2026-06-03 12:09:00,617 | INFO | testing the logger |
2026-06-03 12:09:03,198 | INFO | testing the logger |
2026-06-03 12:09:04,385 | INFO | testing the logger |
2026-06-03 12:09:05,888 | INFO | testing the logger |
2026-06-03 12:09:13,475 | INFO | testing the logger |
2026-06-03 12:09:18,345 | INFO | testing the logger |
2026-06-03 12:09:22,323 | INFO | testing the logger |
2026-06-03 12:09:24,169 | INFO | testing the logger |
2026-06-03 12:09:28,467 | INFO | testing the logger |
2026-06-03 12:09:31,059 | INFO | testing the logger |
2026-06-03 12:10:03,320 | INFO | The client try to remove a soldier from the system |
2026-06-03 12:10:03,342 | INFO | soldier has been deleted |
2026-06-03 12:10:03,345 | INFO | The soldier with the 1 id was succeesfully removed |
2026-06-03 12:24:58,979 | INFO | testing the logger |
